Performance Hours,Crowd Size (avg),tricks_per_hour,weekend,weather_score,costume_quality,interaction_level,location_type,daily_tips
4.0,60,5,0,7.0,5,6,tourist_spot,206.86
5.0,29,11,0,4.0,10,2,subway,142.12
8.0,76,7,1,9.0,4,7,tourist_spot,281.81
4.0,82,12,0,4.0,5,6,tourist_spot,-15.0
1.0,42,13,0,7.0,6,2,market,116.75
4.0,27,13,0,9.0,6,2,market,152.52
6.0,36,12,1,4.0,8,7, subway  ,221.99
2.0,39,9,0,4.0,3,7,subway,148.74
8.0,32,9,0,6.0,6,2,market,185.46
5.0,47,11,0,4.0,10,5,tourist_spot,219.32
4.0,40,17,0,6.0,8,6,subway,205.46
6.0,33,6,0,,8,7,market,191.05
5.0,29,8,0,7.0,10,2,market,158.54
8.0,27,4,0,5.0,4,4,park,170.86
3.0,44,10,1,3.0,10,7,subway,217.86
4.0,23,3,1,4.0,7,4,market,158.16
2.0,17,16,0,8.0,7,7,market,193.7
6.0,73,5,1,2.0,7,3,tourist_spot,225.55
3.0,9,7,0,3.0,10,7,park,128.82
5.0,29,16,0,6.0,3,3,subway,151.71
2.0,19,14,0,4.0,8,5,park,145.9
4.0,20,3,0,7.0,4,10,park,129.77
4.0,25,8,0,9.0,9,3,market,159.17
4.0,22,13,0,2.0,5,2,market,118.05
5.0,50,7,0,8.0,6,6,tourist_spot,210.3
4.0,44,10,0,3.0,8,6,market,173.03
7,19,8,1,5.0,3,4,market,196.28
7.0,89,13,1,7.0,4,5,tourist_spot,277.94
5.0,42,9,1,8.0,9,5,market,260.05
3.0,17,14,1,10.0,5,3,park,189.59
7.0,27,9,0,9.0,3,6,market,198.64
6.0,55,12,0,8.0,4,6,tourist_spot,233.87
7.0,37,13,0,5.0,5,9,market,238.63
3.0,40,16,0,8.0,9,5,subway,184.54
5.0,15,4,1,6.0,7,7,market,216.9
4.0,25,7,1,5.0,5,8,market,190.58
3.0,33,14,0,3.0,10,8,park,186.8
1.0,52,7,1,4.0,7,10,subway,192.4
6.0,24,15,1,8.0,4,5,park,202.28
3.0,29,16,1,9.0,10,10,park,232.56
7.0,36,13,1,7.0,5,5,tourist_spot,253.74
5.0,32,14,1,8.0,7,10,subway,243.81
5.0,19,9,0,8.0,4,5,market,160.9
7.0,31,15,1,2.0,3,8,park,2.5
1.0,27,9,0,9.0,8,9,subway,
8.0,40,6,0,4.0,4,8, subway  ,202.64
7.0,51,14,0,3.0,9,4,tourist_spot,223.39
7.0,24,15,0,4.0,5,9,park,203.75
6.0,68,5,0,7.0,5,7,tourist_spot,208.36
5.0,17,12,0,9.0,10,3,park,158.28
4.0,63,5,0,8.0,8,9,tourist_spot,223.91
2.0,13,4,0,9.0,5,4,park,117.17
4.0,23,10,0,10.0,9,4,park,148.69
1.0,34,4,0,5.0,6,6,subway,122.69
6.0,36,11,0,3.0,7,9,market,208.67
1.0,15,9,1,2.0,10,3,park,118.92
7.0,45,15,0,4.0,8,9,subway,235.42
2.0,52,6,0,6.0,9,10,subway,188.21
2.0,43,3,0,6.0,6,8,market,163.8
2.0,21,8,0,3.0,9,7,market,150.09
4.0,25,5,0,9.0,5,5,subway,134.83
7.0,81,4,0,4.0,9,5,tourist_spot,236.03
4.0,16,7,1,8.0,9,9,park,237.55
4.0,89,3,1,2.0,7,7,tourist_spot,222.57
7.0,37,3,0,3.0,10,5,tourist_spot,202.17
4,9,8,1,5.0,5,7,park,188.82
4.0,32,16,0,8.0,7,10,park,179.99
,87,5,1,2.0,6,3,tourist_spot,228.17
5.0,47,3,1,10.0,9,10,SUBWAY,240.85
2.0,33,10,0,4.0,3,3,market,120.03
5.0,46,4,0,2.0,10,5,subway,180.92
6.0,38,3,1,8.0,3,10,subway,235.58
2.0,36,17,0,6.0,7,10,market,186.65
5.0,69,13,1,9.0,5,8,tourist_spot,279.09
4.0,44,12,0,6.0,8,10,tourist_spot,255.79
7.0,42,13,1,5.0,4,9,tourist_spot,250.08
2.0,44,17,1,10.0,3,2,market,196.71
8.0,39,8,0,7.0,9,7,market,223.76
3.0,44,10,1,3.0,10,7,subway,217.86
6.0,27,5,0,4.0,5,3,park,154.94
8.0,50,4,0,5.0,9,9,subway,235.09
4.0,70,3,0,8.0,7,4,tourist_spot,178.22
3.0,22,17,0,5.0,9,4,market,176.53
5.0,31,8,0,3.0,3,8,subway,170.63
1.0,10,8,0,9.0,9,7,park,163.78
2.0,70,9,0,6.0,8,9,tourist_spot,218.06
8.0,69,6,0,5.0,6,9,tourist_spot,253.21
7.0,43,12,0,6.0,5,3,subway,200.72
3.0,36,10,1,10.0,6,8,subway,223.25
1.0,26,4,0,6.0,7,6,MARKET,131.68
4.0,34,17,1,7.0,5,7,subway,209.42
7.0,29,7,0,10.0,5,3,park,173.3
4.0,15,14,0,5.0,10,5,park,181.78
5.0,30,12,0,8.0,4,7,market,198.28
6.0,26,9,0,6.0,5,5,subway,150.82
5.0,75,17,0,4.0,8,8,tourist spot,253.4
5.0,39,8,1,8.0,5,10, tourist_spot  ,227.4
7.0,85,5,0,7.0,5,6,tourist_spot,244.13
4.0,71,15,1,10.0,6,9,tourist spot,259.47
3.0,29,13,1,2.0,6,2,park,152.65
8.0,41,3,0,10.0,4,6, market  ,210.99
2.0,37,4,0,7.0,7,10,subway,170.63
2.0,50,6,0,4.0,3,2,subway,105.95
5.0,33,16,1,6.0,10,3,park,205.3
