CropType,Fertilizer_kg_per_hectare,Water_mm_per_season,Pesticide_L_per_hectare,CropYield_tons
Soybean,96.1,713.1,,5.86
Corn,57.6,1113.9,6.54,7.99
Rice,180.3,706.3,7.46,8.17
Corn,141.7,399.3,6.92,9.32
Corn,181.6,476.8,7.4,8.62
Corn,145.4,943.9,2.62,9.45
Corn,204.8,943.8,3.29,9.28
Soybean,192.5,1248.5,4.79,6.24
Rice,202.0,364.4,3.18,7.94
Wheat,117.8,1095.5,9.65,4.69
Wheat,86.6,710.7,5.52,6.61
Rice,241.9,702.3,3.83,8.38
Wheat,135.1,761.4,6.82,6.95
Soybean,158.2,807.0,2.87,7.35
Soybean,208.3,786.2,3.87,7.01
Wheat,,754.9,5.64,7.16
Soybean,289.9,957.2,4.84,5.86
Soybean,167.2,737.5,3.98,6.79
Wheat,271.4,479.6,8.36,5.84
Wheat,238.3,546.0,2.4,7.13
Corn,266.5,,3.36,9.44
Soybean,287.7,653.9,7.99,5.69
Soybean,141.0,853.6,4.07,6.17
Corn,235.6,1007.9,6.45,8.95
Wheat,1200.0,73.3,2.63,4.57
Corn,222.0,687.7,7.79,9.14
Wheat,119.5,955.4,5.79,7.02
Wheat,218.3,643.4,4.85,7.91
Wheat,337.9,433.9,7.93,4.68
Soybean,136.4,1210.3,2.97,5.94
Rice,155.1,623.2,7.37,7.93
Rice,205.8,785.5,0.0,7.39
Rice,147.2,1204.0,4.2,7.47
Wheat,177.0,735.3,4.18,8.0
Wheat,182.9,726.4,8.36,7.01
Rice,98.9,883.4,6.19,8.08
Soybean,210.2,-120.0,11.0,3.02
Rice,163.8,717.3,6.05,8.48
Wheat,200.3,578.9,3.93,7.17
Wheat,251.3,1101.7,2.49,6.55
Rice,187.3,716.7,6.36,8.33
Wheat,230.0,296.0,3.73,7.11
Soybean,191.9,916.0,1.98,6.83
Wheat,212.3,638.2,9.52,6.03
Soybean,119.3,646.3,3.66,6.55
Wheat,80.3,332.9,0.08,4.47
Corn,364.7,351.5,2.28,6.18
Wheat,240.4,749.4,1.58,6.8
Soybean,243.2,782.3,0.0,5.12
Soybean,251.3,867.0,6.8,5.69
Wheat,145.5,385.2,5.61,7.53
Soybean,271.8,792.8,2.38,6.05
Soybean,170.7,787.1,3.99,6.71
Rice,143.8,,7.57,7.3
Corn,194.9,794.6,6.23,9.36
Soybean,326.7,733.1,4.05,5.64
Corn,297.9,841.4,4.15,8.9
Soybean,143.2,,,5.61
Soybean,211.1,557.2,2.18,7.04
Wheat,229.4,961.7,2.11,6.92
Rice,150.8,786.6,3.37,8.33
Rice,199.6,,2.0,8.09
Wheat,222.8,907.0,7.47,7.31
Corn,280.1,1002.7,8.03,7.99
Wheat,69.5,616.6,4.24,6.75
Corn,244.8,407.1,0.86,8.47
Wheat,176.7,747.8,0.59,6.48
Wheat,240.9,1058.2,8.78,5.79
Wheat,132.6,943.2,4.78,8.18
Corn,142.4,538.2,4.81,9.64
Rice,145.6,,7.79,5.85
Rice,165.1,729.3,3.59,8.0
Corn,218.0,629.2,1.96,8.91
Soybean,71.7,796.0,7.22,5.53
Soybean,124.6,772.8,0.0,5.12
Wheat,78.5,770.7,5.71,6.92
Wheat,267.2,265.4,5.6,6.51
Rice,159.4,722.9,3.52,8.23
Rice,220.2,464.6,2.87,7.76
Wheat,168.6,841.0,7.52,6.64
Rice,165.1,284.3,75.0,7.37
Wheat,317.9,684.5,3.94,6.42
Wheat,100.8,934.7,9.53,4.85
Rice,191.2,707.5,6.94,7.67
Corn,204.5,680.6,4.45,9.33
Rice,190.3,659.2,2.16,7.78
Wheat,31.7,662.0,2.99,5.48
Soybean,128.4,430.3,5.78,6.53
Rice,160.4,317.3,6.71,7.38
Corn,217.2,632.0,2.77,9.86
Wheat,181.1,689.7,6.49,7.78
Wheat,194.1,625.8,5.4,7.86
Wheat,77.2,663.2,1.13,5.88
Wheat,177.9,675.5,9.93,4.78
Rice,232.9,705.9,7.66,7.61
Corn,225.5,1096.2,5.49,9.2
Corn,218.7,962.9,1.89,9.89
Soybean,148.6,727.5,5.38,7.54
Wheat,195.3,757.3,2.43,7.29
Soybean,145.8,130.0,2.82,5.48
Corn,148.5,902.0,2.24,9.35
Rice,192.2,696.6,4.16,8.09
Soybean,190.9,1450.0,5.57,6.75
Wheat,209.4,354.5,5.31,7.62
Wheat,185.8,661.5,2.73,7.37
Corn,176.0,787.8,5.31,10.15
Rice,175.5,742.3,3.43,8.6
Rice,107.3,842.4,4.13,8.11
Corn,133.9,1028.0,5.22,9.3
Rice,157.7,686.2,2.19,8.04
Wheat,130.1,582.2,8.19,6.72
Wheat,123.0,970.1,5.78,6.64
Rice,83.6,487.3,,5.79
Rice,125.7,475.0,1.7,7.19
Wheat,149.3,447.8,7.2,7.01
Rice,154.8,433.9,4.25,8.34
Rice,192.2,689.5,3.5,8.68
Wheat,103.4,884.5,6.18,6.63
Rice,182.9,930.9,4.72,8.5
Soybean,158.9,776.2,3.18,7.19
Wheat,229.8,643.0,2.43,7.06
Rice,170.5,1055.0,2.89,8.01
Soybean,249.6,406.5,3.31,6.37
Corn,106.7,482.3,1.55,7.94
Soybean,239.0,578.2,1.83,5.83
Wheat,217.9,459.7,2.94,6.97
Soybean,99.9,666.5,4.29,6.27
Corn,254.8,867.0,3.9,9.87
Rice,177.0,743.5,4.02,
Rice,222.7,821.0,5.21,8.1
Rice,269.8,1121.1,3.87,7.38
Corn,153.9,818.0,0.0,9.03
Soybean,,471.2,2.12,5.97
Rice,,743.5,4.2,8.24
Corn,193.3,706.2,5.17,10.23
Corn,133.3,638.3,3.69,10.53
Soybean,99.3,1036.8,6.27,5.72
Soybean,333.6,818.5,4.69,5.62
Wheat,285.1,678.4,8.3,5.82
Corn,103.2,655.2,4.08,9.74
Wheat,223.3,739.6,5.51,7.48
Soybean,202.8,855.8,0.74,6.23
Rice,181.1,709.6,3.16,8.82
Soybean,127.5,574.3,7.06,14.8
Wheat,,453.7,3.8,7.2
Rice,,770.4,1.14,6.97
Corn,184.9,565.9,3.97,9.76
Wheat,136.1,345.0,6.45,6.94
Corn,200.1,494.7,7.32,8.62
Wheat,255.3,938.9,0.55,6.07
Rice,193.4,931.1,-5.0,7.54
Wheat,104.9,821.5,2.81,7.01
Wheat,185.2,562.4,4.25,7.96
Rice,140.2,694.6,3.93,8.77
Soybean,,1156.9,4.65,4.06
Corn,165.3,661.9,1.84,9.39
Corn,208.9,744.2,3.43,9.02
Soybean,294.6,903.4,3.12,5.72
Soybean,144.5,896.9,6.24,6.57
Corn,208.4,1060.6,0.46,8.48
Wheat,219.3,658.0,3.77,7.41
Rice,175.8,457.3,5.3,7.94
Rice,216.6,910.5,6.4,7.58
Soybean,125.5,548.4,0.0,4.76
Wheat,55.6,761.9,3.58,6.37
Soybean,220.9,636.1,2.51,7.09
Corn,128.3,550.0,4.96,9.96
Wheat,209.6,1068.0,4.16,7.5
Corn,174.2,547.6,4.2,10.16
Rice,225.1,793.3,9.14,6.14
Rice,239.1,614.6,4.42,8.17
Wheat,109.0,577.9,5.27,6.79
Wheat,197.4,138.1,,5.46
Rice,237.3,777.5,8.76,7.2
Wheat,245.5,887.8,5.87,
Rice,41.9,550.2,,5.58
Soybean,183.3,685.9,4.67,7.31
Soybean,199.6,716.9,5.23,7.03
Soybean,288.7,971.9,5.88,5.72
Corn,132.2,894.4,5.67,
Soybean,173.1,965.4,7.5,6.27
Soybean,285.3,474.2,7.18,5.66
Corn,199.9,679.0,2.89,9.2
Corn,150.7,694.4,6.78,9.4
Rice,195.6,835.0,3.28,8.34
Corn,213.6,527.1,4.71,9.68
Wheat,147.6,912.1,5.42,6.78
Corn,,468.2,8.56,
Rice,122.7,793.6,3.57,7.6
Corn,97.2,855.8,8.52,8.27
Soybean,120.6,766.6,3.38,6.23
Corn,169.4,662.0,1.74,9.38
Soybean,249.0,737.3,3.88,6.91
Soybean,252.1,620.3,6.34,6.46
Rice,221.2,783.0,1.74,7.61
Soybean,220.9,863.3,4.43,6.87
Corn,151.3,698.0,5.77,9.79
Wheat,208.7,860.1,5.59,7.74
Rice,20.9,830.8,6.6,5.88
Wheat,159.9,634.5,4.56,7.76
Soybean,181.7,758.8,7.19,6.7
Wheat,,880.5,5.65,7.48
Soybean,164.4,667.0,4.3,7.09
Rice,177.9,732.7,2.97,8.58
Wheat,,1030.7,0.95,6.46
Soybean,196.8,891.4,6.71,6.54
Wheat,90.9,411.4,2.27,6.5
Wheat,202.6,776.2,2.68,7.74
Wheat,154.0,958.0,2.49,7.44
Wheat,134.6,699.2,5.06,7.89
Soybean,236.1,482.5,7.0,6.83
Wheat,124.7,62.8,7.94,4.57
Wheat,123.6,547.8,5.97,7.2
Rice,223.1,216.3,3.04,7.13
Wheat,250.8,601.8,8.32,6.11
Corn,,408.9,3.62,9.35
Corn,203.9,896.9,6.62,9.37
Corn,152.4,926.7,4.94,9.61
Soybean,119.8,653.0,6.88,5.75
Rice,256.7,1047.0,9.91,5.41
Wheat,168.8,694.5,3.29,7.52
Corn,186.6,1228.8,5.25,8.87
Corn,18.2,458.8,4.03,7.1
Wheat,95.5,534.1,8.54,5.45
Corn,202.3,1024.8,6.42,9.23
Rice,153.6,,4.87,8.9
Rice,134.2,1080.1,3.57,6.6
Soybean,149.2,690.0,7.6,6.6
Rice,212.6,573.8,5.96,8.24
Wheat,145.4,1081.9,4.29,7.39
Wheat,272.9,726.3,6.48,6.26
Corn,250.8,1004.1,3.59,9.26
Corn,147.3,542.0,0.0,8.54
Corn,148.1,650.6,5.57,9.73
Wheat,176.2,646.9,5.27,7.08
Wheat,165.6,483.9,3.34,6.93
Wheat,84.3,781.1,,6.67
Corn,3.0,937.3,8.65,8.23
Wheat,122.1,577.0,9.64,4.41
Wheat,,389.0,2.39,7.26
Wheat,265.2,573.2,7.0,7.05
Soybean,80.3,226.4,7.85,4.92
Rice,232.2,1159.4,2.89,6.96
Corn,186.4,1236.7,4.44,8.6
Wheat,149.0,712.5,4.17,7.82
Wheat,196.0,465.7,0.0,6.18
Corn,224.6,791.0,6.04,9.64
Wheat,292.9,840.5,6.8,
Corn,200.0,711.4,6.76,9.23
Corn,153.3,901.6,4.55,9.31
Rice,112.3,1006.2,4.44,7.59
Rice,202.9,961.9,4.73,7.99
Rice,184.4,429.9,5.56,8.6
Soybean,178.0,1023.7,7.78,6.2
Wheat,97.2,,3.73,6.82
Corn,206.7,487.0,3.85,9.98
Rice,195.4,1069.1,1.87,7.39
Wheat,183.6,,3.76,7.33
Wheat,129.0,8500.0,3.58,7.41
Corn,167.8,353.2,5.25,9.49
Soybean,74.5,685.5,3.81,6.78
Corn,261.3,669.3,2.5,9.63
Soybean,207.6,811.8,2.62,6.6
Wheat,194.1,357.6,0.46,6.16
Wheat,161.4,796.9,9.35,5.59
Wheat,163.6,703.4,5.57,8.17
Wheat,268.8,250.8,10.9,3.29
Soybean,176.7,575.9,6.34,6.75
Soybean,,731.2,1.2,5.07
Soybean,292.6,621.0,8.4,4.98
Soybean,148.6,668.3,8.03,5.84
Rice,219.5,602.5,1.77,7.32
Wheat,,589.5,5.21,7.14
Corn,161.4,502.3,0.54,9.69
Soybean,216.9,551.2,,5.4
Wheat,151.3,691.8,0.0,6.17
Soybean,303.6,936.2,5.85,4.86
Rice,221.8,513.7,10.97,4.25
Soybean,191.8,822.7,6.74,6.78
Soybean,121.4,,2.86,5.25
Corn,198.7,,5.55,9.09
Wheat,169.0,671.4,7.21,7.62
Soybean,218.0,740.3,5.15,7.07
Soybean,77.8,753.6,5.73,6.44
Corn,121.3,398.6,3.63,9.6
Soybean,290.9,481.9,5.95,5.67
Soybean,172.5,534.1,7.7,6.5
Wheat,254.3,520.3,2.86,6.88
Corn,242.9,605.5,5.72,9.53
Soybean,278.7,601.8,2.54,5.95
Wheat,238.4,630.4,4.99,7.48
Soybean,171.3,628.5,7.35,6.57
Rice,250.1,808.7,2.31,7.45
Rice,177.7,635.1,3.16,8.13
Wheat,179.0,566.8,0.29,
Soybean,79.8,815.0,7.55,-2.5
Rice,115.1,567.7,6.68,8.36
Corn,197.2,694.0,7.08,9.32
Wheat,216.4,708.9,3.9,7.81
Rice,245.7,772.3,6.63,8.02
Corn,203.0,418.3,6.16,9.57
Rice,95.6,357.7,7.0,7.2
Soybean,277.7,475.3,3.88,6.16
Wheat,112.6,796.1,3.13,7.37
Corn,197.4,869.8,4.45,
Soybean,124.9,968.1,5.08,6.48
Wheat,47.3,591.4,4.41,6.15
Corn,150.6,1174.6,1.41,8.48
Corn,166.9,417.7,1.11,8.85
Corn,155.3,552.2,5.42,9.55
Wheat,101.7,1106.3,5.5,6.74
Rice,270.1,796.8,4.08,8.73
Rice,191.8,577.4,3.94,8.12
Corn,208.3,961.1,0.9,9.0
Soybean,102.6,831.4,9.66,3.93
Wheat,171.5,864.2,8.25,6.14
Soybean,168.9,1000.1,4.95,6.87
Wheat,209.5,373.3,1.93,7.1
Rice,214.6,843.5,,7.81
Corn,178.0,394.3,0.0,8.22
Rice,163.1,832.0,4.55,8.67
Soybean,226.3,605.8,7.41,6.6
Soybean,146.3,834.0,8.74,5.29
Rice,256.3,457.2,3.42,7.67
Corn,181.8,770.8,4.55,9.52
Rice,133.3,1186.3,9.1,6.02
Corn,89.8,727.6,,9.36
Corn,215.6,349.5,4.82,9.5
Wheat,182.8,1046.3,0.51,7.01
Rice,210.1,556.7,8.28,7.07
Wheat,156.9,377.8,,6.95
Corn,136.5,430.7,5.1,9.6
Wheat,94.7,445.2,6.83,6.62
Wheat,128.5,544.9,8.53,5.22
Corn,262.0,556.4,4.54,9.52
Wheat,190.0,908.9,4.9,6.84
Rice,186.9,551.8,5.33,8.15
Corn,225.4,919.6,4.04,9.86
Wheat,141.8,819.1,1.52,7.11
Soybean,128.2,839.7,6.89,6.02
Soybean,290.8,,5.2,5.81
Corn,115.9,400.8,0.95,7.78
Rice,229.8,919.2,5.67,7.79
Wheat,117.9,800.5,5.45,8.42
Rice,184.6,645.6,3.09,8.7
Soybean,180.8,548.6,4.92,
Rice,241.7,523.2,6.5,7.29
Corn,264.6,816.5,4.69,9.75
Rice,281.2,651.4,0.69,6.27
