Account_Age_Months,Total_Purchases,Average_Order_Value,Days_Since_Last_Login,Support_Tickets_Opened,Is_Subscribed_To_Newsletter,Discount_Usage_Ratio,Churn
6.8,13,73.05,46.0,1,0,0.249,1
16.0,21,20.66,16.2,5,1,0.539,0
19.4,20,19.67,8.6,1,0,0.334,0
28.2,10,20.98,12.5,1,0,0.183,0
25.7,11,10.77,16.7,3,0,0.494,1
20.6,23,13.6,14.8,0,1,0.488,0
3.9,9,13.83,12.0,1,0,0.31,0
21.3,15,26.95,12.7,1,1,0.152,0
22.6,18,40.03,3.5,1,0,0.821,0
81.9,22,44.85,30.2,2,1,0.36,0
19.0,11,23.2,14.0,0,0,0.461,0
26.4,17,23.6,2.5,0,0,0.338,0
43.2,20,36.11,26.2,2,0,0.232,0
34.7,18,11.62,48.5,1,0,0.447,1
49.6,17,64.82,53.0,1,0,0.181,1
6.9,22,81.43,8.3,2,0,0.465,1
10.1,9,21.37,2.6,1,1,0.703,0
14.4,22,25.06,13.2,2,1,0.341,0
5.9,22,79.07,2.2,0,1,0.264,0
22.7,12,30.38,48.9,3,0,0.2,1
10.8,16,49.99,3.7,0,1,0.297,0
53.4,18,31.04,5.2,3,0,0.329,0
12.1,18,98.44,9.4,0,1,0.62,1
17.3,17,46.67,8.7,2,0,0.444,0
36.0,20,48.59,28.5,1,0,0.525,0
8.1,13,49.23,11.0,0,0,0.267,1
5.6,21,22.45,3.4,0,1,0.388,0
24.5,19,23.94,5.6,0,0,0.446,0
25.7,17,56.74,12.8,1,1,0.076,0
35.3,19,36.18,2.9,1,0,0.093,0
30.3,16,14.52,17.0,0,1,0.091,0
26.3,14,122.88,15.0,0,1,0.319,0
13.1,12,65.67,22.6,1,0,0.541,1
25.3,13,34.0,50.0,0,0,0.218,1
26.3,9,27.35,43.8,3,1,0.177,0
12.8,21,38.06,52.6,0,0,0.277,1
62.4,21,47.57,5.1,1,0,0.338,0
29.4,10,7.98,2.5,1,1,0.248,0
10.3,15,145.28,6.5,1,1,0.185,0
35.4,26,19.05,40.6,3,0,0.17,1
39.2,17,33.07,64.4,2,1,0.786,1
28.3,23,33.93,35.3,3,0,0.13,1
18.3,7,133.99,2.1,2,0,0.47,0
12.4,9,31.13,53.0,1,1,0.744,1
20.6,28,100.68,9.9,3,0,0.573,1
27.1,22,44.02,0.2,0,0,0.172,0
21.9,14,16.89,10.5,2,1,0.675,0
50.9,13,36.39,0.8,0,1,0.143,0
32.2,16,30.48,14.1,2,1,0.263,0
11.3,6,15.5,7.4,1,1,0.333,0
9.4,10,42.54,11.5,1,1,0.181,0
29.6,10,33.63,17.1,0,0,0.39,0
18.5,18,48.89,36.6,1,0,0.233,0
34.0,32,37.92,19.5,0,1,0.758,0
29.4,13,20.99,10.2,1,0,0.333,0
20.6,17,56.7,30.8,2,1,0.544,0
11.4,21,21.39,42.5,1,1,0.715,1
6.1,20,3.78,2.3,0,0,0.451,0
25.0,11,36.24,13.7,1,1,0.751,1
8.0,18,22.47,6.0,2,0,0.544,1
11.1,17,43.27,0.9,0,0,0.462,0
24.0,19,134.18,19.9,0,1,0.348,0
22.5,20,136.92,35.7,1,0,0.13,1
8.8,26,29.5,3.2,1,0,0.337,1
41.8,18,18.57,30.1,2,0,0.203,0
41.2,13,49.86,34.6,2,1,0.601,0
30.2,11,25.56,44.2,1,1,0.218,0
30.1,10,43.56,5.5,1,1,0.397,0
30.2,21,20.85,42.2,4,1,0.51,0
39.0,9,39.47,7.0,3,0,0.2,0
32.7,16,18.76,14.5,2,1,0.383,0
12.2,13,75.87,0.9,1,1,0.276,0
18.4,13,21.91,0.8,0,0,0.444,0
76.7,19,52.6,22.9,0,0,0.168,0
4.2,20,13.66,10.6,1,1,0.765,1
15.4,28,57.22,5.3,2,1,0.441,0
42.0,15,16.84,3.8,1,1,0.736,0
12.8,19,39.76,20.0,0,1,0.552,1
33.3,14,67.78,0.0,3,0,0.278,0
22.3,13,28.79,29.5,1,1,0.54,0
13.4,21,16.11,1.5,0,0,0.631,1
3.4,7,46.89,3.8,0,0,0.567,1
24.5,15,18.38,8.8,0,1,0.402,0
12.0,12,24.95,11.9,1,0,0.228,1
20.0,15,39.88,7.9,2,1,0.541,0
30.0,14,85.84,7.0,0,0,0.508,0
37.1,15,33.74,59.8,1,0,0.307,1
15.4,16,33.65,18.5,2,0,0.183,1
13.4,14,55.49,0.4,1,0,0.476,0
7.9,17,34.3,10.1,1,0,0.221,0
38.2,15,51.67,37.4,0,0,0.299,0
70.3,13,70.45,6.5,0,1,0.528,0
40.7,21,26.33,1.8,1,0,0.199,0
46.2,14,3.35,25.6,0,0,0.134,0
12.8,13,18.68,16.8,3,1,0.11,0
28.9,22,77.18,15.2,2,1,0.49,0
35.2,10,32.34,1.0,2,0,0.494,0
0.4,22,26.12,2.7,0,1,0.327,0
9.8,18,74.94,17.5,1,1,0.571,0
55.7,12,30.85,4.2,3,0,0.319,0
6.7,11,7.65,12.6,0,0,0.335,0
50.6,16,11.55,14.2,2,1,0.305,0
6.7,13,44.39,6.0,1,1,0.1,0
10.2,13,31.6,53.4,0,1,0.272,1
29.2,13,91.68,33.3,0,0,0.132,0
22.7,18,19.82,23.1,0,0,0.253,0
16.5,27,26.66,1.5,0,1,0.521,0
54.4,15,17.83,2.0,1,0,0.085,0
8.1,10,23.0,12.2,2,0,0.267,1
19.5,13,8.81,3.2,3,1,0.262,0
31.5,26,25.28,68.9,0,0,0.465,1
26.1,16,31.93,3.1,4,1,0.208,0
13.7,20,30.1,12.0,1,1,0.511,0
14.1,16,149.11,8.1,0,0,0.228,1
36.7,13,119.51,18.4,1,1,0.552,0
37.8,9,19.58,2.5,2,0,0.489,0
26.5,16,7.92,10.1,3,1,0.39,0
11.6,15,30.89,5.8,1,0,0.289,0
14.4,9,43.1,39.4,1,0,0.156,1
21.4,11,18.13,0.7,1,1,0.353,0
23.4,11,18.77,44.1,1,0,0.56,1
30.8,16,100.26,32.2,2,1,0.198,0
18.8,10,27.65,6.4,0,0,0.569,0
36.2,13,52.65,28.0,3,0,0.592,1
36.0,20,17.27,0.6,0,0,0.22,0
47.1,10,31.82,61.3,4,0,0.389,1
22.0,17,26.17,13.5,1,0,0.714,0
26.8,7,20.64,6.5,1,1,0.26,0
19.8,15,74.34,8.1,0,1,0.515,0
11.7,22,12.53,1.2,2,1,0.196,0
69.4,10,40.86,81.8,2,1,0.356,0
43.6,17,25.83,0.7,2,0,0.243,0
35.5,10,44.27,19.2,1,1,0.369,0
21.5,22,26.07,10.5,3,0,0.541,1
11.0,21,60.77,53.5,3,1,0.365,1
39.4,10,17.15,5.1,2,0,0.359,0
19.6,10,74.46,13.7,1,1,0.208,1
28.3,14,32.45,11.9,1,1,0.672,0
14.4,13,13.07,21.8,1,1,0.71,0
25.5,23,53.31,1.3,1,1,0.454,0
15.0,9,28.81,3.9,0,1,0.772,0
15.4,24,10.02,4.3,3,1,0.517,0
25.3,13,41.79,24.1,3,0,0.065,0
6.6,11,66.99,3.8,3,0,0.163,0
6.9,20,81.25,15.3,0,0,0.271,0
12.7,11,25.41,4.4,1,0,0.483,0
18.7,9,36.66,35.6,0,0,0.11,1
36.9,30,34.31,51.3,0,0,0.413,0
19.4,8,93.96,13.2,1,0,0.567,0
21.4,17,18.78,7.8,1,1,0.301,0
17.7,11,23.92,4.8,1,1,0.405,0
26.8,13,18.46,0.9,0,0,0.453,0
11.6,22,12.01,5.6,2,0,0.455,1
20.1,10,39.39,19.1,1,0,0.296,1
28.1,9,101.59,13.7,3,0,0.545,1
25.1,17,28.82,51.9,1,1,0.292,0
21.9,10,17.86,9.1,2,0,0.402,0
22.0,18,37.74,21.3,1,1,0.355,0
29.9,14,50.02,12.1,1,1,0.306,0
71.3,8,29.68,12.9,1,1,0.417,0
12.2,10,88.45,5.6,2,0,0.626,0
72.5,16,18.75,10.9,1,1,0.115,0
11.8,13,27.09,11.5,1,0,0.351,0
3.0,15,40.74,22.1,2,0,0.155,1
14.8,10,43.6,50.8,2,0,0.114,1
27.1,26,34.23,7.2,0,0,0.224,0
62.7,11,13.53,0.8,2,0,0.665,0
11.0,12,170.14,12.3,0,0,0.419,1
29.7,11,28.07,14.2,0,1,0.296,0
7.5,15,35.77,3.3,1,1,0.263,1
61.4,17,51.0,25.7,2,0,0.478,0
44.1,8,21.21,75.5,1,0,0.381,1
15.5,19,34.46,52.5,1,1,0.295,1
48.3,13,20.61,4.0,2,0,0.15,0
20.0,19,44.3,37.5,0,1,0.209,1
45.5,17,27.3,21.9,1,1,0.65,0
21.7,15,39.97,10.9,2,0,0.416,0
22.4,18,15.92,14.0,3,0,0.236,0
15.7,10,18.54,34.1,0,0,0.455,0
32.2,4,12.74,11.8,0,0,0.545,1
23.5,15,20.14,8.4,1,0,0.264,0
30.2,16,5.47,12.2,1,1,0.318,0
6.0,22,26.71,15.6,1,0,0.348,0
46.4,24,22.78,3.8,0,0,0.187,0
53.5,30,36.81,41.6,1,1,0.413,0
23.4,17,34.17,20.2,1,0,0.203,0
68.4,20,79.83,18.1,1,0,0.127,0
59.1,11,203.57,1.9,0,0,0.203,0
32.6,17,73.43,16.7,0,0,0.401,0
48.7,10,24.11,2.3,2,1,0.226,0
41.3,19,23.44,1.5,0,0,0.324,0
4.7,16,60.83,13.5,1,1,0.353,0
17.9,15,10.19,9.3,2,0,0.159,0
34.0,13,26.56,16.0,0,0,0.805,0
55.6,18,28.03,1.7,2,0,0.297,0
7.0,4,49.84,10.1,1,1,0.523,0
5.0,15,50.89,3.5,0,0,0.337,0
20.9,23,19.66,78.3,1,0,0.546,1
3.3,10,24.78,14.8,2,1,0.547,1
20.4,15,45.22,20.9,0,0,0.406,1
27.5,19,18.93,7.1,1,0,0.109,0
10.6,15,77.04,1.8,1,1,0.666,0
20.8,19,50.73,67.0,1,0,0.232,1
39.0,17,37.34,6.1,0,1,0.159,0
14.8,18,43.54,9.9,0,0,0.527,0
12.0,15,23.88,18.9,0,1,0.394,1
20.1,10,21.36,0.5,1,1,0.375,0
9.7,27,24.6,29.9,0,0,0.254,1
65.4,13,46.99,13.8,0,1,0.588,0
22.2,11,38.12,5.9,3,1,0.179,0
12.9,15,24.63,1.1,1,0,0.383,0
25.0,26,55.96,3.2,2,0,0.159,0
20.1,19,29.32,40.6,0,1,0.526,0
18.6,19,20.38,20.9,0,1,0.761,1
14.8,22,39.57,5.2,2,0,0.46,0
14.2,15,16.3,1.2,0,1,0.205,0
6.1,21,10.16,21.1,2,0,0.528,1
48.7,17,33.0,15.3,1,1,0.296,0
31.3,19,20.9,9.3,3,1,0.237,0
26.6,20,27.72,8.1,2,1,0.32,0
19.8,19,16.83,4.4,1,0,0.115,1
10.4,18,77.19,19.9,2,1,0.67,1
12.3,13,20.84,63.5,1,0,0.343,1
6.8,11,24.47,3.5,1,0,0.42,0
13.5,10,43.14,16.4,0,0,0.666,0
9.3,19,12.63,9.9,1,1,0.642,0
57.2,16,12.0,10.7,1,0,0.263,0
37.4,19,43.24,5.3,2,0,0.378,0
22.8,12,24.25,31.4,0,1,0.228,1
11.3,10,17.62,12.0,2,1,0.579,0
9.7,16,50.52,14.1,1,1,0.646,0
19.0,15,18.76,6.5,1,1,0.122,0
38.4,14,27.33,3.6,0,0,0.68,0
6.9,14,17.68,1.6,0,1,0.188,0
31.1,7,40.95,22.5,0,1,0.33,0
13.4,10,84.14,3.9,0,0,0.136,0
15.3,27,9.0,21.1,1,0,0.441,0
22.4,12,35.83,8.9,0,0,0.186,0
11.6,38,60.32,9.7,0,0,0.287,1
18.3,11,24.65,11.4,2,1,0.348,0
10.9,14,15.0,8.3,1,1,0.09,0
14.2,10,44.46,1.9,1,1,0.459,0
34.8,14,66.76,6.7,3,0,0.061,0
23.2,14,61.77,19.6,2,0,0.276,0
34.7,13,42.78,19.7,1,1,0.5,0
13.3,6,35.46,6.1,0,0,0.553,0
31.2,20,17.65,11.1,0,1,0.282,0
5.5,8,60.68,3.9,1,0,0.174,1
22.4,19,58.38,4.3,1,1,0.402,0
32.5,17,14.93,0.4,1,0,0.475,0
5.3,21,42.74,40.9,1,0,0.465,1
13.4,17,52.3,4.3,0,0,0.353,0
22.4,22,61.4,4.6,1,1,0.587,0
40.1,10,31.42,5.9,2,1,0.302,0
14.2,14,18.17,2.5,2,0,0.32,0
30.4,19,23.3,18.4,2,1,0.308,0
50.6,27,16.36,1.4,0,1,0.448,0
31.3,18,31.95,2.6,2,1,0.338,0
18.8,25,27.86,18.6,0,1,0.673,0
27.6,13,148.64,7.5,1,0,0.627,0
13.9,21,61.95,22.2,2,0,0.381,1
23.0,27,65.28,14.7,3,1,0.105,0
19.5,8,46.06,5.3,2,1,0.654,0
27.0,12,25.61,18.9,0,1,0.499,0
16.2,15,27.31,2.2,0,1,0.133,0
28.0,16,29.12,13.8,2,0,0.534,0
16.0,23,37.78,10.3,2,1,0.099,0
37.2,9,43.49,5.6,1,0,0.133,0
17.2,12,33.13,16.7,1,1,0.313,0
3.4,14,27.02,36.9,1,0,0.884,1
10.0,9,21.85,122.7,0,1,0.228,1
21.9,12,12.49,16.8,1,0,0.65,0
56.9,14,81.32,9.3,1,0,0.603,0
36.3,13,155.07,4.6,1,0,0.214,0
2.7,29,76.67,5.3,1,1,0.447,1
6.4,19,13.72,11.8,3,1,0.664,0
43.2,10,57.45,8.2,1,0,0.495,0
32.4,33,67.81,44.1,1,1,0.148,0
75.2,13,24.97,8.3,2,1,0.107,0
15.6,17,46.63,8.4,1,0,0.027,1
11.4,13,24.06,8.7,3,0,0.301,0
22.7,17,96.57,32.6,0,1,0.495,0
15.4,11,42.77,18.9,2,1,0.115,0
40.8,21,17.43,17.1,2,0,0.458,0
15.0,12,52.92,7.3,0,1,0.773,0
17.9,8,69.49,30.7,0,0,0.305,1
10.2,16,38.04,0.7,2,0,0.229,0
34.8,11,46.32,36.8,3,0,0.466,0
10.7,11,31.54,12.9,1,0,0.514,1
28.3,10,14.97,9.1,2,1,0.214,0
62.7,19,29.78,12.4,1,1,0.222,0
4.6,11,47.76,19.8,1,0,0.599,0
52.0,9,30.28,0.2,1,0,0.203,0
26.1,13,58.01,36.9,0,1,0.447,0
9.0,12,25.17,10.7,1,1,0.651,0
23.3,15,26.35,7.6,0,1,0.184,0
34.2,11,59.25,2.7,1,1,0.266,0
12.0,19,38.68,10.4,0,0,0.26,0
29.4,11,24.82,12.3,1,1,0.301,0
54.6,15,68.28,9.3,3,0,0.391,0
15.0,24,20.45,20.4,0,0,0.251,0
10.1,15,19.91,9.8,0,0,0.466,0
19.9,16,4.57,58.6,3,0,0.489,1
22.5,18,22.47,16.5,0,1,0.357,0
42.1,16,82.77,29.7,1,1,0.22,0
19.4,11,7.76,2.1,0,0,0.583,0
16.0,16,17.01,9.1,3,0,0.347,1
9.9,10,45.03,7.4,2,0,0.125,1
5.3,17,6.88,15.2,2,0,0.194,1
7.7,14,23.16,35.5,4,1,0.323,0
7.6,13,73.6,1.5,0,1,0.281,0
18.1,13,138.4,1.4,1,1,0.215,0
6.2,6,40.58,34.2,2,1,0.313,1
20.9,24,17.31,4.3,1,1,0.192,0
61.9,15,16.91,19.9,2,0,0.384,0
42.8,13,36.65,14.1,2,0,0.301,0
17.9,23,40.31,32.2,0,0,0.401,1
85.9,13,121.58,2.4,2,1,0.37,0
22.6,14,65.34,2.5,0,1,0.499,0
24.7,19,35.12,14.6,2,0,0.407,0
19.6,14,26.19,52.7,0,0,0.442,1
21.2,9,273.23,9.7,2,0,0.423,0
14.6,10,51.35,7.1,1,1,0.42,0
18.1,10,20.74,16.8,2,0,0.451,1
52.2,30,28.3,48.0,3,1,0.357,0
45.7,16,17.92,32.6,1,1,0.718,0
3.2,13,6.15,97.2,1,0,0.384,1
6.9,21,41.22,0.4,1,1,0.106,0
12.1,14,115.32,2.2,1,1,0.219,0
38.6,12,10.58,16.9,3,0,0.419,0
46.3,18,34.42,30.9,1,1,0.356,0
34.1,19,20.19,6.0,0,0,0.355,0
8.9,14,47.71,4.9,2,0,0.111,0
14.8,9,29.35,27.8,2,1,0.441,0
29.7,24,12.78,1.0,0,1,0.137,0
18.3,9,16.66,8.3,1,1,0.636,0
16.6,15,18.52,12.7,0,1,0.266,0
16.8,24,84.86,14.8,1,1,0.43,0
43.6,12,81.88,23.5,1,1,0.238,0
31.6,6,26.63,7.9,1,1,0.066,0
17.4,14,78.22,17.1,3,1,0.197,1
26.8,21,29.33,15.8,0,0,0.321,1
8.0,15,26.35,14.3,1,1,0.105,0
14.8,15,34.47,18.4,3,0,0.74,1
41.1,13,40.42,5.4,0,0,0.361,0
5.9,13,22.45,1.6,1,0,0.282,0
31.9,20,33.63,2.3,0,1,0.563,0
3.2,17,57.46,4.6,1,0,0.32,0
57.5,16,36.26,12.5,1,0,0.483,0
14.6,13,34.12,33.0,4,1,0.16,1
28.1,9,46.8,21.7,1,0,0.559,0
23.4,25,52.81,28.0,0,1,0.191,0
24.0,10,31.7,7.8,1,0,0.337,0
26.5,26,23.76,9.3,1,0,0.372,0
5.0,13,37.81,9.0,1,0,0.595,1
24.3,12,10.85,3.8,0,1,0.413,0
19.1,14,28.58,1.1,0,0,0.392,0
14.7,13,5.87,16.1,0,1,0.555,0
12.1,13,10.25,81.5,0,0,0.181,1
24.7,29,9.22,3.3,1,0,0.291,0
10.2,9,68.93,0.9,1,0,0.569,1
40.6,14,33.44,27.2,2,0,0.455,0
29.4,18,13.69,5.2,1,1,0.341,0
25.7,9,46.7,31.9,1,1,0.493,0
39.6,14,66.16,21.9,2,1,0.24,0
4.3,11,47.27,52.4,1,0,0.276,1
7.8,9,29.02,9.5,2,0,0.232,0
30.2,22,38.97,19.5,0,0,0.447,1
12.6,13,62.24,11.3,2,1,0.245,0
13.9,16,23.84,17.9,0,0,0.618,1
6.9,13,33.82,10.7,2,1,0.835,0
10.2,18,27.66,3.8,1,0,0.242,1
41.2,13,10.7,12.8,1,0,0.357,0
29.8,16,62.9,13.5,3,0,0.478,1
24.5,7,139.78,30.0,0,0,0.452,1
14.3,15,17.96,23.9,1,1,0.335,0
23.5,21,64.97,19.6,2,0,0.411,1
43.4,16,18.37,2.2,0,1,0.524,0
12.9,16,36.34,23.0,0,0,0.498,1
21.2,15,95.16,12.5,3,1,0.656,0
59.6,14,23.0,40.4,1,0,0.54,1
33.8,21,32.78,45.4,0,1,0.346,0
14.4,19,9.38,1.0,1,1,0.214,0
32.2,12,20.8,30.9,0,1,0.307,0
5.8,21,8.72,0.7,2,0,0.434,0
20.6,22,44.72,8.2,1,1,0.162,0
32.1,27,59.27,14.1,4,0,0.352,0
27.8,7,28.36,2.9,1,0,0.735,0
32.0,16,40.45,24.7,1,0,0.864,1
36.4,12,26.36,0.2,1,0,0.436,0
29.2,20,55.61,3.3,2,1,0.123,0
28.6,14,36.26,15.6,1,0,0.522,1
24.9,17,8.25,22.6,0,1,0.118,0
9.3,9,63.94,44.7,2,1,0.35,1
41.2,14,25.21,22.0,1,0,0.435,0
21.1,16,13.61,20.1,0,1,0.493,0
33.3,34,24.36,9.0,2,0,0.666,0
38.6,15,8.75,0.0,1,1,0.133,0
14.9,15,13.81,2.3,1,0,0.384,0
15.9,11,36.6,13.8,0,1,0.241,0
17.4,13,38.81,20.2,0,1,0.09,0
45.9,20,41.04,9.7,1,1,0.538,0
11.0,15,33.19,23.6,3,0,0.755,1
50.7,5,20.39,13.3,1,0,0.46,0
24.7,12,31.88,1.4,1,0,0.44,0
25.8,17,24.38,3.8,5,0,0.771,0
37.6,10,10.61,33.0,3,0,0.046,0
22.9,30,19.28,23.2,3,1,0.459,0
41.4,26,61.72,40.5,2,0,0.322,0
14.9,13,100.67,2.3,2,0,0.456,0
49.7,8,52.24,83.3,1,1,0.388,0
15.7,28,97.57,4.2,1,1,0.368,0
50.9,11,35.16,0.2,0,0,0.248,0
16.1,15,112.13,107.3,3,0,0.63,1
17.8,23,139.51,5.9,1,0,0.661,0
10.0,7,9.84,19.8,1,0,0.465,0
12.2,11,38.67,3.5,1,1,0.259,0
21.2,27,35.18,15.6,0,0,0.586,0
25.3,13,24.61,42.2,1,1,0.656,1
39.6,7,46.73,6.9,0,1,0.537,0
18.7,11,34.08,20.0,3,1,0.581,1
9.0,7,19.79,3.7,3,0,0.301,0
27.8,20,32.5,17.6,3,0,0.559,1
24.2,15,76.95,7.4,0,1,0.226,0
29.8,29,37.63,4.3,0,0,0.6,0
13.6,13,51.36,6.8,0,0,0.31,0
14.8,16,27.28,3.5,1,0,0.136,1
13.6,10,45.44,41.8,0,0,0.694,1
44.3,14,14.2,9.1,0,1,0.544,0
50.0,13,23.34,5.1,0,0,0.477,0
14.3,27,30.82,10.7,0,0,0.462,0
14.5,19,13.55,7.0,2,0,0.34,0
32.4,18,18.52,24.6,1,1,0.513,0
53.4,14,41.23,63.9,0,1,0.231,0
60.3,15,36.27,10.4,3,1,0.202,0
13.8,17,58.23,35.5,0,0,0.617,1
16.4,20,21.75,15.0,3,0,0.543,1
26.2,14,34.48,3.1,3,0,0.629,0
27.0,29,20.69,21.1,3,1,0.761,1
19.2,15,54.29,13.0,2,1,0.194,0
11.9,13,76.21,18.9,2,1,0.501,0
21.2,21,46.45,39.7,2,0,0.319,1
60.3,16,69.6,10.5,3,1,0.556,0
14.9,11,33.88,41.7,1,0,0.297,1
25.1,16,58.2,25.0,1,1,0.647,0
84.2,10,34.91,12.1,2,0,0.568,0
14.8,19,16.16,16.6,0,1,0.514,0
33.3,15,39.36,7.1,2,0,0.111,0
61.8,18,16.5,74.0,3,0,0.353,1
31.6,17,170.27,19.8,1,1,0.717,0
42.4,14,26.21,0.8,1,0,0.499,0
36.1,15,52.01,7.1,3,1,0.617,0
30.0,11,32.83,17.6,0,1,0.107,0
49.0,9,13.96,1.0,0,1,0.118,0
32.7,17,8.77,0.4,2,0,0.363,0
19.3,7,55.94,10.8,3,0,0.458,0
23.9,8,97.96,7.3,2,1,0.482,0
27.6,13,19.8,10.4,0,0,0.283,0
16.4,19,10.38,5.5,1,1,0.351,0
24.6,11,26.37,3.2,1,0,0.157,0
22.4,26,17.18,21.0,1,0,0.423,0
32.6,11,21.01,13.0,1,0,0.187,0
71.7,17,50.77,4.0,0,0,0.54,0
25.5,9,31.97,6.9,1,0,0.393,0
54.2,21,18.53,16.1,1,1,0.538,0
31.9,20,50.0,1.3,3,1,0.254,0
24.5,11,52.82,2.9,0,0,0.411,0
15.7,16,26.16,1.4,0,1,0.281,0
24.7,12,36.47,30.1,0,0,0.237,0
23.7,8,47.67,25.1,0,1,0.338,0
12.9,11,44.62,25.2,1,1,0.213,1
14.4,14,34.07,22.7,1,1,0.59,0
27.7,26,90.27,19.9,1,0,0.397,0
53.8,13,49.79,11.7,0,0,0.342,0
20.7,24,24.16,18.5,1,0,0.421,1
6.6,20,24.26,0.7,0,1,0.325,0
2.7,12,22.41,17.5,2,0,0.379,1
9.8,8,51.55,27.1,0,1,0.514,0
33.9,19,21.41,12.5,4,0,0.373,0
7.8,24,24.6,8.0,0,1,0.378,1
37.2,13,69.45,5.8,1,0,0.591,0
32.7,10,37.87,18.5,2,0,0.171,1
20.2,13,76.63,21.2,4,0,0.288,0
13.0,16,57.9,36.9,0,0,0.325,1
18.3,10,14.53,7.5,2,0,0.676,0
27.3,14,30.83,26.4,1,1,0.381,0
8.0,14,66.22,14.8,0,0,0.31,0
50.6,9,14.08,38.6,1,0,0.186,0
27.1,22,44.42,13.5,1,1,0.282,0
29.1,15,32.22,13.1,1,0,0.527,1
32.6,11,9.7,15.5,1,1,0.23,0
47.7,8,36.01,24.9,0,1,0.449,0
24.7,10,18.43,60.2,1,0,0.674,1
33.9,8,14.62,1.4,2,0,0.376,0
13.2,19,33.33,1.0,2,0,0.295,1
60.5,20,8.57,49.9,0,1,0.155,0
23.6,15,20.66,13.6,2,1,0.456,0
13.1,14,197.52,17.2,1,1,0.461,0
15.7,15,52.2,11.9,2,1,0.16,0
4.1,21,17.87,1.8,1,0,0.083,0
15.7,10,88.49,26.3,0,1,0.432,1
2.0,15,16.54,24.8,2,1,0.339,1
35.4,23,22.48,6.7,2,1,0.598,0
28.6,17,14.82,6.6,2,1,0.155,0
10.3,8,39.62,32.7,5,1,0.71,1
21.0,14,86.32,1.4,2,0,0.39,1
21.6,16,16.46,38.3,0,0,0.398,1
8.7,18,7.83,5.3,2,0,0.588,1
18.6,15,71.07,16.2,3,0,0.616,1
22.1,10,98.26,49.5,1,1,0.308,1
18.2,18,8.19,20.4,0,0,0.495,0
13.1,7,45.7,9.6,1,1,0.343,0
10.0,24,38.81,21.1,3,0,0.181,1
17.8,17,19.08,7.6,0,0,0.475,0
14.3,18,12.48,5.8,0,1,0.325,0
31.2,13,66.3,102.8,1,1,0.248,1
